"6idZHB7cqDzbnDCLYcoKwq",1,"Watery Leviathan","Fiends, Boyd Rice","Wolf Pact","spotify:track:6idZHB7cqDzbnDCLYcoKwq"
"4uyAupBdcVE4VNWzEAqHZR",2,"The Forgotten Father","Boyd Rice & Fiends","Wolf Pact","spotify:track:4uyAupBdcVE4VNWzEAqHZR"
"5Mu886ebWpmpqfenakvWz1",3,"Tomb of the Forgotten Father","Fiends, Boyd Rice","Wolf Pact","spotify:track:5Mu886ebWpmpqfenakvWz1"
"6UM7ytoDDsHXZFOvTIt3Ze",4,"Wolf Pact","Fiends, Boyd Rice","Wolf Pact","spotify:track:6UM7ytoDDsHXZFOvTIt3Ze"
"5x8NC1ac4QyU8jdXliHL3O",5,"Worlds Collide","Fiends, Boyd Rice","Wolf Pact","spotify:track:5x8NC1ac4QyU8jdXliHL3O"
"786MDMpcxKQ6ng9xG21Sto",6,"Their Bad Blood","Fiends, Boyd Rice","Wolf Pact","spotify:track:786MDMpcxKQ6ng9xG21Sto"
"6PHnS8KtMKQUpvFFaGFCE9",7,"Rex Mundi","Boyd Rice & Fiends","Wolf Pact","spotify:track:6PHnS8KtMKQUpvFFaGFCE9"
"276AF91C7Ogg4VhMjoG4Nc",8,"Murder Bag","Fiends, Boyd Rice","Wolf Pact","spotify:track:276AF91C7Ogg4VhMjoG4Nc"
"5XBvy6bsaQIllTreWHDzph",9,"The Reign Song","Fiends, Boyd Rice","Wolf Pact","spotify:track:5XBvy6bsaQIllTreWHDzph"
"12bZSDx1TYjRfzL43oK3Ag",10,"Joe Liked to Go (To the Cemetery)","Boyd Rice & Fiends","Wolf Pact","spotify:track:12bZSDx1TYjRfzL43oK3Ag"
"3Vh1lXGa1IQHP7sCIOeECF",11,"Fire Shall Come","Fiends, Boyd Rice","Wolf Pact","spotify:track:3Vh1lXGa1IQHP7sCIOeECF"
"0eEL0j6J55ylJD30ooGMJ2",12,"The Orchid and the Death's Head","Boyd Rice & Fiends","Wolf Pact","spotify:track:0eEL0j6J55ylJD30ooGMJ2"
"74LbvQdlNgabk2jn1TsHJQ",13,"For Their Whole Lives Long","Fiends, Boyd Rice","Wolf Pact","spotify:track:74LbvQdlNgabk2jn1TsHJQ"
