"5ZRZ6DIohgyxlG1dUguis5",1,"Codename:Pharaoh","Avandra","Prodigal","spotify:track:5ZRZ6DIohgyxlG1dUguis5"
"4hgi6DKp0D6uicNur9svLa",2,"The Downpour","Avandra","Prodigal","spotify:track:4hgi6DKp0D6uicNur9svLa"
"1k3EszfR0KttJbiqGUDnNk",3,"New Beginnings","Avandra","Prodigal","spotify:track:1k3EszfR0KttJbiqGUDnNk"
"3uPwOCYnuk9TzCcEyqCahF",4,"A Trace Of Home","Avandra","Prodigal","spotify:track:3uPwOCYnuk9TzCcEyqCahF"
"02I2sX9O4Fvq3FuJj0eWPM",5,"In Träumen","Avandra","Prodigal","spotify:track:02I2sX9O4Fvq3FuJj0eWPM"
"0VZHsQn3GrTH393Sx3WlD2",6,"In Memoriam","Avandra","Prodigal","spotify:track:0VZHsQn3GrTH393Sx3WlD2"
"21yx3v23bCLRW5HQ45VoKz",7,"Facing An Armored Dreadnought","Avandra","Prodigal","spotify:track:21yx3v23bCLRW5HQ45VoKz"
"3qoWA0K2ma9ga1Kh9M2Pxs",8,"Dissembling The Artifice","Avandra","Prodigal","spotify:track:3qoWA0K2ma9ga1Kh9M2Pxs"
"5N7CtUnlQ0CDFcjIDnrxqM",9,"The Earth Inside","Avandra","Prodigal","spotify:track:5N7CtUnlQ0CDFcjIDnrxqM"
"3Z7bE3EfDyZZgzuhz1qbrG",10,"Daybreak","Avandra","Prodigal","spotify:track:3Z7bE3EfDyZZgzuhz1qbrG"
